IDLOCAL;LOCAL
145009;1.A2.05.20.01.04
145010;1.A2.05.20.01.05
145012;1.A2.05.20.02.01
145013;1.A2.05.20.02.02
145015;1.A2.05.20.02.04
145016;1.A2.05.20.02.05
145018;1.A2.05.20.03.01
145019;1.A2.05.20.03.02
145021;1.A2.05.20.03.04
145022;1.A2.05.20.03.05
145024;1.A2.05.20.04.01
145025;1.A2.05.20.04.02
145027;1.A2.05.20.04.04
145028;1.A2.05.20.04.05
145030;1.A2.05.20.05.01
145031;1.A2.05.20.05.02
145033;1.A2.05.20.05.04
145034;1.A2.05.20.05.05
145036;1.A2.05.20.06.01
145037;1.A2.05.20.06.02
145039;1.A2.05.20.06.04
145040;1.A2.05.20.06.05
145043;1.A2.05.21.01.01
145044;1.A2.05.21.01.02
145046;1.A2.05.21.01.04
145047;1.A2.05.21.01.05
145049;1.A2.05.21.02.01
145050;1.A2.05.21.02.02
145052;1.A2.05.21.02.04
145053;1.A2.05.21.02.05
145055;1.A2.05.21.03.01
145056;1.A2.05.21.03.02
145058;1.A2.05.21.03.04
145059;1.A2.05.21.03.05
145061;1.A2.05.21.04.01
145062;1.A2.05.21.04.02
145064;1.A2.05.21.04.04
145065;1.A2.05.21.04.05
145067;1.A2.05.21.05.01
145068;1.A2.05.21.05.02
145070;1.A2.05.21.05.04
145071;1.A2.05.21.05.05
145073;1.A2.05.21.06.01
145074;1.A2.05.21.06.02
145076;1.A2.05.21.06.04
145077;1.A2.05.21.06.05
145080;1.A2.05.22.01.01
145081;1.A2.05.22.01.02
145083;1.A2.05.22.01.04
145084;1.A2.05.22.01.05
145086;1.A2.05.22.02.01
145087;1.A2.05.22.02.02
145089;1.A2.05.22.02.04
145090;1.A2.05.22.02.05
145092;1.A2.05.22.03.01
145093;1.A2.05.22.03.02
145095;1.A2.05.22.03.04
145096;1.A2.05.22.03.05
145098;1.A2.05.22.04.01
145099;1.A2.05.22.04.02
145101;1.A2.05.22.04.04
145102;1.A2.05.22.04.05
145104;1.A2.05.22.05.01
145105;1.A2.05.22.05.02
145107;1.A2.05.22.05.04
145108;1.A2.05.22.05.05
145110;1.A2.05.22.06.01
145111;1.A2.05.22.06.02
145113;1.A2.05.22.06.04
145114;1.A2.05.22.06.05
145117;1.A2.05.23.01.01
145118;1.A2.05.23.01.02
137445;2.A1.06.23.06.04
137446;2.A1.06.23.06.05
137449;2.A1.06.24.01.01
137450;2.A1.06.24.01.02
137452;2.A1.06.24.01.04
137453;2.A1.06.24.01.05
137455;2.A1.06.24.02.01
137456;2.A1.06.24.02.02
137458;2.A1.06.24.02.04
137459;2.A1.06.24.02.05
137461;2.A1.06.24.03.01
137462;2.A1.06.24.03.02
137464;2.A1.06.24.03.04
137465;2.A1.06.24.03.05
137467;2.A1.06.24.04.01
137468;2.A1.06.24.04.02
137470;2.A1.06.24.04.04
137471;2.A1.06.24.04.05
137473;2.A1.06.24.05.01
137474;2.A1.06.24.05.02
137476;2.A1.06.24.05.04
137477;2.A1.06.24.05.05
137479;2.A1.06.24.06.01
137480;2.A1.06.24.06.02
137482;2.A1.06.24.06.04
137483;2.A1.06.24.06.05
137486;2.A1.06.25.01.01
137487;2.A1.06.25.01.02
137489;2.A1.06.25.01.04
137490;2.A1.06.25.01.05
137492;2.A1.06.25.02.01
137493;2.A1.06.25.02.02
137495;2.A1.06.25.02.04
137496;2.A1.06.25.02.05
137498;2.A1.06.25.03.01
137499;2.A1.06.25.03.02
137501;2.A1.06.25.03.04
137502;2.A1.06.25.03.05
137504;2.A1.06.25.04.01
137505;2.A1.06.25.04.02
137507;2.A1.06.25.04.04
137508;2.A1.06.25.04.05
137510;2.A1.06.25.05.01
137511;2.A1.06.25.05.02
137513;2.A1.06.25.05.04
137514;2.A1.06.25.05.05
137516;2.A1.06.25.06.01
137517;2.A1.06.25.06.02
137519;2.A1.06.25.06.04
137520;2.A1.06.25.06.05
137523;2.A1.06.26.01.01
137524;2.A1.06.26.01.02
137526;2.A1.06.26.01.04
137527;2.A1.06.26.01.05
137529;2.A1.06.26.02.01
137530;2.A1.06.26.02.02
137532;2.A1.06.26.02.04
137533;2.A1.06.26.02.05
